id,status,pred_label,confidence,stage,filter_score
1825740711516237312,ANOMALY,None,0.0,Filter,0.000519
2032110694603975296,ANOMALY,None,0.0,Filter,0.000703
5345530869431699200,ANOMALY,None,0.0,Filter,0.000536
2032759234685541504,ANOMALY,None,0.0,Filter,0.000612
5866825137643415296,ANOMALY,None,0.0,Filter,0.00057
1819815993102882176,ANOMALY,None,0.0,Filter,0.007557
5971758782222507776,ANOMALY,None,0.0,Filter,0.00071
526926108510056960,ANOMALY,None,0.0,Filter,0.00064
1968620426458638848,ANOMALY,None,0.0,Filter,0.000574
190116594215391744,ANOMALY,None,0.0,Filter,0.000692
5596546212964422272,ANOMALY,None,0.0,Filter,0.000779
2033522020861547008,ANOMALY,None,0.0,Filter,0.000599
5875955654081602176,ANOMALY,None,0.0,Filter,0.000525
5981741798025538304,ANOMALY,None,0.0,Filter,0.000702
4256212126765356544,ANOMALY,None,0.0,Filter,0.000846
4294191732283576576,ANOMALY,None,0.0,Filter,0.000854
5869155586937114752,ANOMALY,None,0.0,Filter,0.000834
270657676377049344,ANOMALY,None,0.0,Filter,0.000672
4313004582396863360,ANOMALY,None,0.0,Filter,0.000587
1809778310911455616,ANOMALY,None,0.0,Filter,0.000703
5335204771677940992,ANOMALY,None,0.0,Filter,0.000516
1825806544751560320,ANOMALY,None,0.0,Filter,0.000714
4059637211754085632,ANOMALY,None,0.0,Filter,0.001011
5852063369494468352,ANOMALY,None,0.0,Filter,0.000512
6053684183843143808,ANOMALY,None,0.0,Filter,0.000533
5355489558562752384,ANOMALY,None,0.0,Filter,0.000609
3027182564716874240,ANOMALY,None,0.0,Filter,0.000722
4314855232289012224,ANOMALY,None,0.0,Filter,0.000651
4107499743246939648,ANOMALY,None,0.0,Filter,0.021957
5255237325311371008,ANOMALY,None,0.0,Filter,0.000599
6057806081140738304,ANOMALY,None,0.0,Filter,0.000789
2028487013552427776,ANOMALY,None,0.0,Filter,0.000621
6764602357677524480,ANOMALY,None,0.0,Filter,0.000573
2018799388371990784,ANOMALY,None,0.0,Filter,0.000533
5858897280920265216,ANOMALY,None,0.0,Filter,0.000643
2001721120925743488,ANOMALY,None,0.0,Filter,0.000904
5869065048991880832,ANOMALY,None,0.0,Filter,0.000681
5870950986350331392,ANOMALY,None,0.0,Filter,0.000638
1852596008117643648,ANOMALY,None,0.0,Filter,0.000605
5874862808164319616,ANOMALY,None,0.0,Filter,0.000538
4108614063820632448,ANOMALY,None,0.0,Filter,0.001021
2019212873466748672,ANOMALY,None,0.0,Filter,0.000647
6125478101245214080,ANOMALY,None,0.0,Filter,0.000691
5869483275722960768,ANOMALY,None,0.0,Filter,0.000642
4311007525704907648,ANOMALY,None,0.0,Filter,0.000575
6056706775684644480,ANOMALY,None,0.0,Filter,0.000504
5852394906574308608,ANOMALY,None,0.0,Filter,0.000558
4311768353421274752,ANOMALY,None,0.0,Filter,0.000549
2024653978542983808,ANOMALY,None,0.0,Filter,0.00058
5857290207180228992,ANOMALY,None,0.0,Filter,0.000526
4313209435153779456,ANOMALY,None,0.0,Filter,0.000608
5868462477963529344,ANOMALY,None,0.0,Filter,0.000686
4655310143084457472,ANOMALY,None,0.0,Filter,0.000605
2026701234846798976,ANOMALY,None,0.0,Filter,0.000652
5882076910113537280,ANOMALY,None,0.0,Filter,0.000586
6056499380282700288,ANOMALY,None,0.0,Filter,0.000554
6735385619324004608,ANOMALY,None,0.0,Filter,0.000746
5825033490949730432,ANOMALY,None,0.0,Filter,0.000793
5873254428841202944,ANOMALY,None,0.0,Filter,0.000586
2030376008883598592,ANOMALY,None,0.0,Filter,0.000494
2022912420861027328,ANOMALY,None,0.0,Filter,0.000551
5865152952415318656,ANOMALY,None,0.0,Filter,0.000535
2046190800000699648,ANOMALY,None,0.0,Filter,0.000718
4313359896513437824,ANOMALY,None,0.0,Filter,0.000728
5886557037736643968,ANOMALY,None,0.0,Filter,0.000533
5868396202337524608,ANOMALY,None,0.0,Filter,0.000596
5992567417745193216,ANOMALY,None,0.0,Filter,0.000596
1952061850057135232,ANOMALY,None,0.0,Filter,0.00066
5877951542518983936,ANOMALY,None,0.0,Filter,0.000525
514892022459790464,ANOMALY,None,0.0,Filter,0.000731
5324902210232374784,ANOMALY,None,0.0,Filter,0.000625
5850857411351374592,ANOMALY,None,0.0,Filter,0.000552
5860868499101666048,ANOMALY,None,0.0,Filter,0.000597
5878331389381899264,ANOMALY,None,0.0,Filter,0.000676
2023081883102798208,ANOMALY,None,0.0,Filter,0.000615
